metoda,estymator,klasyfikator,ilość cech,f1,dokładność,precyzja,recall,czas uczenia
Las losowy,Las losowy,KNeighborsClassifier(n_neighbors=3),50,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

Las losowy,Las losowy,RandomForestRegressor(n_estimators=250),50,0.01562190055847168,nan,nan,nan,nan

Las losowy,Las losowy,LogisticRegression(),50,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

ReliefF,ReliefF,KNeighborsClassifier(n_neighbors=1),50,0.0,0.08695652173913043,0.58,0.09090909090909091,0.08333333333333333

ReliefF,ReliefF,KNeighborsClassifier(n_neighbors=3),50,0.0,0.48000000000000004,0.74,0.46153846153846156,0.5

ReliefF,ReliefF,RandomForestRegressor(n_estimators=250),50,0.015620946884155273,nan,nan,nan,nan

ReliefF,ReliefF,LogisticRegression(),50,0.0,0.3157894736842105,0.74,0.42857142857142855,0.25

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=1),70,0.0119781494140625,0.5185185185185186,0.74,0.5,0.5384615384615384

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),KNeighborsClassifier(n_neighbors=3),70,0.007979393005371094,0.5517241379310345,0.74,0.5,0.6153846153846154

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),RandomForestRegressor(n_estimators=250),70,0.03121638298034668,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=1),LogisticRegression(),70,0.005023479461669922,0.46153846153846156,0.72,0.46153846153846156,0.46153846153846156

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=1),70,0.006983041763305664,0.5185185185185186,0.74,0.5,0.5384615384615384

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),KNeighborsClassifier(n_neighbors=3),70,0.0069408416748046875,0.5517241379310345,0.74,0.5,0.6153846153846154

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),RandomForestRegressor(n_estimators=250),70,0.015621185302734375,nan,nan,nan,nan

Sekwencyjne przeszukiwanie w przód,KNeighborsClassifier(n_neighbors=3),LogisticRegression(),70,0.003989219665527344,0.46153846153846156,0.72,0.46153846153846156,0.46153846153846156

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=1),70,0.005983591079711914,0.5185185185185186,0.74,0.5,0.5384615384615384

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),KNeighborsClassifier(n_neighbors=3),70,0.005984067916870117,0.5517241379310345,0.74,0.5,0.6153846153846154

Sekwencyjne przeszukiwanie w przód,RandomForestRegressor(n_estimators=250),RandomForestRegressor(n_estimators=250),70,0.017926454544067383,nan,nan,nan,nan

